worker_id,name,mobile,ac_code,ac_name,assigned_booth_part,tier,active
W00001,Worker-1,9827539941,1801,DD-1801,,Volunteer,True
W00002,Worker-2,9865568445,1801,DD-1801,,BLA,True
W00003,Worker-3,9858462564,1801,DD-1801,,BLA,True
W00004,Worker-4,9829390792,1801,DD-1801,,Supervisor,True
W00005,Worker-5,9863594326,1801,DD-1801,,BLA,True
W00006,Worker-6,9886260604,1801,DD-1801,,Supervisor,True
W00007,Worker-7,9851816378,1801,DD-1801,,BLA,True
W00008,Worker-8,9869977411,1801,DD-1801,,Supervisor,True
W00009,Worker-9,9898727515,1801,DD-1801,,Supervisor,True
W00010,Worker-10,9861214881,1801,DD-1801,,Volunteer,True
W00011,Worker-11,9851711272,1801,DD-1801,,BLA,True
W00012,Worker-12,9854238245,1801,DD-1801,,BLO,True
W00013,Worker-13,9860052516,1801,DD-1801,,BLO,True
W00014,Worker-14,9890925482,1801,DD-1801,,Volunteer,True
W00015,Worker-15,9889157745,1801,DD-1801,,BLA,True
W00016,Worker-16,9871471558,1801,DD-1801,,Volunteer,True
W00017,Worker-17,9824399860,1801,DD-1801,,BLO,True
W00018,Worker-18,9844133035,1801,DD-1801,,BLO,True
W00019,Worker-19,9886521974,1801,DD-1801,,BLO,True
W00020,Worker-20,9832648301,1801,DD-1801,,BLO,True
W00021,Worker-21,9820854027,1801,DD-1801,,BLA,True
W00022,Worker-22,9885017361,1801,DD-1801,,Volunteer,True
W00023,Worker-23,9842753176,1801,DD-1801,,Supervisor,True
W00024,Worker-24,9815239552,1801,DD-1801,,Supervisor,True
W00025,Worker-25,9886025765,1801,DD-1801,,Supervisor,True
W00026,Worker-26,9860265309,1801,DD-1801,,BLA,True
W00027,Worker-27,9895465051,1801,DD-1801,,Supervisor,True
W00028,Worker-28,9813761111,1801,DD-1801,,BLO,True
W00029,Worker-29,9826719003,1801,DD-1801,,BLA,True
W00030,Worker-30,9824509774,1801,DD-1801,,Supervisor,True
W00031,Worker-31,9812136795,1801,DD-1801,,BLA,True
W00032,Worker-32,9881643237,1801,DD-1801,,Supervisor,True
W00033,Worker-33,9851650553,1801,DD-1801,,Supervisor,True
W00034,Worker-34,9860333294,1801,DD-1801,,Volunteer,True
W00035,Worker-35,9862033808,1801,DD-1801,,Volunteer,True
W00036,Worker-36,9842104150,1801,DD-1801,,BLO,True
W00037,Worker-37,9841140012,1801,DD-1801,,Volunteer,True
W00038,Worker-38,9811104622,1801,DD-1801,,BLA,True
W00039,Worker-39,9872310529,1801,DD-1801,,BLA,True
W00040,Worker-40,9863166886,1801,DD-1801,,BLA,True
W00041,Worker-41,9846767190,1801,DD-1801,,BLO,True
W00042,Worker-42,9881992138,1801,DD-1801,,BLO,True
W00043,Worker-43,9814945926,1801,DD-1801,,Supervisor,True
W00044,Worker-44,9862145612,1801,DD-1801,,Supervisor,True
W00045,Worker-45,9892521560,1801,DD-1801,,Supervisor,True
W00046,Worker-46,9867798437,1801,DD-1801,,BLA,True
W00047,Worker-47,9849501160,1801,DD-1801,,Volunteer,True
W00048,Worker-48,9871942180,1801,DD-1801,,BLA,True
W00049,Worker-49,9861141009,1801,DD-1801,,Supervisor,True
W00050,Worker-50,9881416319,1801,DD-1801,,Volunteer,True
W00051,Worker-51,9817770082,1801,DD-1801,,BLA,True
W00052,Worker-52,9867898818,1801,DD-1801,,Volunteer,True
W00053,Worker-53,9879116801,1801,DD-1801,,BLA,True
W00054,Worker-54,9857513161,1801,DD-1801,,BLA,True
W00055,Worker-55,9851823383,1801,DD-1801,,Volunteer,True
W00056,Worker-56,9836086493,1801,DD-1801,,Volunteer,True
W00057,Worker-57,9829791826,1801,DD-1801,,Volunteer,True
W00058,Worker-58,9834690883,1801,DD-1801,,Volunteer,True
W00059,Worker-59,9880546272,1801,DD-1801,,BLA,True
W00060,Worker-60,9810105781,1801,DD-1801,,BLO,True
